szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 5 ; 15 ; 181 ; 0 ; 135 ; 11.452173913043477 ; 18.9 ; 36.7048 ; 6.9256 ; 272.037037037037 ; 15 ; 30 ; 30
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 185 ; 0 ; 133 ; 14.203208556149733 ; 23.6 ; 37.152 ; 8.7584 ; 275.2706766917293 ; 15 ; 30 ; 45
constant ; 2 ; 15 ; 185 ; 0 ; 138 ; 15.53623188405797 ; 24 ; 39.308 ; 9.4328 ; 283.1666666666667 ; 15 ; 30 ; 45
constant ; 3 ; 15 ; 236 ; 0 ; 159 ; 10.052523874488404 ; 34.1 ; 57.3808 ; 19.584 ; 322.0377358490566 ; 15 ; 30 ; 45
constant ; 4 ; 15 ; 194 ; 0 ; 143 ; 14.027565084226646 ; 25.2 ; 40.6656 ; 10.24 ; 277.1748251748252 ; 15 ; 30 ; 45
constant ; 5 ; 15 ; 193 ; 0 ; 145 ; 11.112121212121211 ; 28.4 ; 44.7032 ; 12.6992 ; 294.4758620689655 ; 15 ; 30 ; 45
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 178 ; 0 ; 120 ; 12.577966101694916 ; 23.8 ; 38.6792 ; 9.212 ; 288.6666666666667 ; 15 ; 30 ; 60
constant ; 2 ; 15 ; 188 ; 0 ; 129 ; 16.015706806282722 ; 25 ; 40.0128 ; 9.9984 ; 303.51162790697674 ; 15 ; 30 ; 60
constant ; 3 ; 15 ; 200 ; 0 ; 132 ; 11.606983655274888 ; 36.3 ; 51.196 ; 18.5648 ; 346.8484848484849 ; 15 ; 30 ; 60
constant ; 4 ; 15 ; 192 ; 0 ; 140 ; 14.645107794361525 ; 23.2 ; 39.064 ; 9.0632 ; 280.67857142857144 ; 15 ; 30 ; 60
constant ; 5 ; 15 ; 196 ; 0 ; 145 ; 12.493212669683258 ; 22.5 ; 40.8488 ; 9.2088 ; 279.9655172413793 ; 15 ; 30 ; 60
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 176 ; 0 ; 128 ; 13.533769063180827 ; 18.2 ; 34.1384 ; 6.2048 ; 269.75 ; 15 ; 45 ; 15
constant ; 2 ; 15 ; 191 ; 0 ; 139 ; 11.482100238663485 ; 24.8 ; 38.8688 ; 9.6256 ; 288.9208633093525 ; 15 ; 45 ; 15
constant ; 3 ; 15 ; 181 ; 0 ; 125 ; 14.510763209393346 ; 23.9 ; 38.172 ; 9.108 ; 284.864 ; 15 ; 45 ; 15
constant ; 4 ; 15 ; 190 ; 0 ; 142 ; 12.824729891956784 ; 27.9 ; 42.8456 ; 11.972 ; 300.0211267605634 ; 15 ; 45 ; 15
constant ; 5 ; 15 ; 178 ; 0 ; 124 ; 12.101781170483461 ; 25.8 ; 38.7064 ; 10 ; 310.69354838709677 ; 15 ; 45 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 194 ; 0 ; 140 ; 14.269722814498934 ; 31.6 ; 45.7408 ; 14.4336 ; 329.48571428571427 ; 15 ; 45 ; 30
constant ; 2 ; 15 ; 182 ; 0 ; 132 ; 14.90079365079365 ; 21.6 ; 36.308 ; 7.8312 ; 274.24242424242425 ; 15 ; 45 ; 30
constant ; 3 ; 15 ; 187 ; 0 ; 141 ; 14.344827586206897 ; 25.4 ; 40.8512 ; 10.3808 ; 298.9503546099291 ; 15 ; 45 ; 30
constant ; 4 ; 15 ; 189 ; 0 ; 133 ; 14.775964391691394 ; 25.6 ; 41.7064 ; 10.696 ; 309.81954887218046 ; 15 ; 45 ; 30
