szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 4 ; 436 ; 0 ; 425 ; 1.4886363636363635 ; 0.1 ; 10.213170731707317 ; 0.01375609756097561 ; 240.86588235294118 ; 0 ; 0 ; 0
indian ; 2 ; 4 ; 378 ; 0 ; 369 ; 1.5 ; 0.1 ; 8.95209756097561 ; 0.011317073170731707 ; 245.88346883468836 ; 0 ; 0 ; 0
indian ; 3 ; 4 ; 396 ; 0 ; 392 ; 1.6 ; 0.1 ; 9.522634146341463 ; 0.01121951219512195 ; 247.84438775510205 ; 0 ; 0 ; 0
indian ; 4 ; 4 ; 413 ; 0 ; 409 ; 1.6935483870967742 ; 0.1 ; 9.754536585365853 ; 0.010341463414634147 ; 243.53056234718827 ; 0 ; 0 ; 0
indian ; 5 ; 4 ; 417 ; 0 ; 409 ; 1.4029850746268657 ; 0.1 ; 9.34790243902439 ; 0.009268292682926829 ; 232.62102689486554 ; 0 ; 0 ; 0
indian ; 6 ; 4 ; 419 ; 0 ; 407 ; 1.5434782608695652 ; 0.1 ; 9.532390243902439 ; 0.006926829268292683 ; 236.25061425061426 ; 0 ; 0 ; 0
indian ; 7 ; 4 ; 409 ; 0 ; 400 ; 1.4393939393939394 ; 0.1 ; 10.012682926829267 ; 0.009365853658536585 ; 252.7525 ; 0 ; 0 ; 0
indian ; 8 ; 4 ; 445 ; 0 ; 438 ; 1.6385542168674698 ; 0.1 ; 10.569756097560976 ; 0.013560975609756097 ; 244.81963470319636 ; 0 ; 0 ; 0
indian ; 9 ; 4 ; 413 ; 0 ; 407 ; 1.4583333333333333 ; 0.1 ; 9.693170731707317 ; 0.010439024390243903 ; 242.25552825552825 ; 0 ; 0 ; 0
indian ; 10 ; 4 ; 427 ; 0 ; 418 ; 1.5106382978723405 ; 0.1 ; 10.06819512195122 ; 0.014341463414634147 ; 243.0358851674641 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 5 ; 520 ; 0 ; 499 ; 1.6583333333333334 ; 0.2 ; 12.478146341463415 ; 0.021463414634146343 ; 249.2124248496994 ; 0 ; 0 ; 0
indian ; 2 ; 5 ; 501 ; 0 ; 489 ; 1.588235294117647 ; 0.2 ; 11.603121951219512 ; 0.021560975609756096 ; 239.16155419222903 ; 0 ; 0 ; 0
indian ; 3 ; 5 ; 536 ; 0 ; 523 ; 1.5508474576271187 ; 0.1 ; 12.520878048780487 ; 0.018048780487804877 ; 242.21797323135755 ; 0 ; 0 ; 0
indian ; 4 ; 5 ; 528 ; 0 ; 522 ; 1.561904761904762 ; 0.1 ; 12.342341463414634 ; 0.016097560975609757 ; 239.97892720306513 ; 0 ; 0 ; 0
indian ; 5 ; 5 ; 515 ; 0 ; 500 ; 1.6356589147286822 ; 0.2 ; 11.865073170731707 ; 0.020878048780487806 ; 238.424 ; 0 ; 0 ; 0
indian ; 6 ; 5 ; 497 ; 0 ; 488 ; 1.4962406015037595 ; 0.2 ; 11.25239024390244 ; 0.019707317073170732 ; 234.09631147540983 ; 0 ; 0 ; 0
indian ; 7 ; 5 ; 509 ; 0 ; 503 ; 1.3923076923076922 ; 0.2 ; 11.737268292682927 ; 0.01795121951219512 ; 237.7952286282306 ; 0 ; 0 ; 0
indian ; 8 ; 5 ; 511 ; 0 ; 499 ; 1.5126050420168067 ; 0.2 ; 12.028780487804879 ; 0.01824390243902439 ; 244.22845691382764 ; 0 ; 0 ; 0
indian ; 9 ; 5 ; 515 ; 0 ; 502 ; 1.5 ; 0.1 ; 12.15248780487805 ; 0.015121951219512195 ; 244.29482071713147 ; 0 ; 0 ; 0
indian ; 10 ; 5 ; 504 ; 0 ; 492 ; 1.7173913043478262 ; 0.1 ; 11.68409756097561 ; 0.015609756097560976 ; 240.3252032520325 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 6 ; 595 ; 0 ; 581 ; 1.5284552845528456 ; 0.1 ; 13.765170731707316 ; 0.019121951219512195 ; 239.64888123924268 ; 0 ; 0 ; 0
indian ; 2 ; 6 ; 640 ; 0 ; 625 ; 1.5776699029126213 ; 0.2 ; 14.83570731707317 ; 0.03219512195121951 ; 239.104 ; 0 ; 0 ; 0
indian ; 3 ; 6 ; 635 ; 0 ; 622 ; 1.4518072289156627 ; 0.2 ; 14.612585365853658 ; 0.023707317073170732 ; 237.9807073954984 ; 0 ; 0 ; 0
indian ; 4 ; 6 ; 603 ; 0 ; 593 ; 1.376543209876543 ; 0.2 ; 13.863024390243902 ; 0.022341463414634145 ; 237.24283305227655 ; 0 ; 0 ; 0
indian ; 5 ; 6 ; 625 ; 0 ; 609 ; 1.6451612903225807 ; 0.2 ; 14.10019512195122 ; 0.030341463414634146 ; 233.6929392446634 ; 0 ; 0 ; 0
indian ; 6 ; 6 ; 596 ; 0 ; 582 ; 1.3888888888888888 ; 0.1 ; 13.697073170731707 ; 0.020097560975609757 ; 237.8109965635739 ; 0 ; 0 ; 0
indian ; 7 ; 6 ; 635 ; 0 ; 621 ; 1.5804597701149425 ; 0.2 ; 14.563512195121952 ; 0.027414634146341463 ; 237.00805152979066 ; 0 ; 0 ; 0
indian ; 8 ; 6 ; 573 ; 0 ; 561 ; 1.6341463414634145 ; 0.2 ; 13.181951219512195 ; 0.02673170731707317 ; 238.52941176470588 ; 0 ; 0 ; 0
indian ; 9 ; 6 ; 603 ; 0 ; 584 ; 1.6077348066298343 ; 0.2 ; 14.048878048780487 ; 0.02995121951219512 ; 242.19520547945206 ; 0 ; 0 ; 0
indian ; 10 ; 6 ; 627 ; 0 ; 612 ; 1.5555555555555556 ; 0.2 ; 14.79160975609756 ; 0.03121951219512195 ; 243.0735294117647 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 7 ; 701 ; 0 ; 689 ; 1.5422885572139304 ; 0.2 ; 16.160682926829267 ; 0.03102439024390244 ; 238.48766328011612 ; 0 ; 0 ; 0
indian ; 2 ; 7 ; 778 ; 0 ; 756 ; 1.5735294117647058 ; 0.2 ; 18.07678048780488 ; 0.04253658536585366 ; 241.70502645502646 ; 0 ; 0 ; 0
indian ; 3 ; 7 ; 714 ; 0 ; 699 ; 1.6419213973799127 ; 0.2 ; 16.645463414634147 ; 0.037853658536585365 ; 241.22889842632333 ; 0 ; 0 ; 0
indian ; 4 ; 7 ; 698 ; 0 ; 683 ; 1.5886075949367089 ; 0.2 ; 16.350536585365855 ; 0.025170731707317075 ; 242.6325036603221 ; 0 ; 0 ; 0
indian ; 5 ; 7 ; 726 ; 0 ; 707 ; 1.7201646090534979 ; 0.2 ; 17.17941463414634 ; 0.0415609756097561 ; 244.991513437058 ; 0 ; 0 ; 0
indian ; 6 ; 7 ; 746 ; 0 ; 728 ; 1.6493506493506493 ; 0.2 ; 16.836780487804877 ; 0.037560975609756096 ; 233.2967032967033 ; 0 ; 0 ; 0
indian ; 7 ; 7 ; 774 ; 0 ; 753 ; 1.4506437768240343 ; 0.2 ; 17.982829268292683 ; 0.03346341463414634 ; 241.70650730411685 ; 0 ; 0 ; 0
indian ; 8 ; 7 ; 705 ; 0 ; 687 ; 1.5789473684210527 ; 0.2 ; 15.877073170731707 ; 0.029853658536585365 ; 233.1513828238719 ; 0 ; 0 ; 0
indian ; 9 ; 7 ; 738 ; 0 ; 717 ; 1.521186440677966 ; 0.2 ; 17.357073170731706 ; 0.03668292682926829 ; 243.50348675034869 ; 0 ; 0 ; 0
indian ; 10 ; 7 ; 695 ; 0 ; 681 ; 1.4235807860262009 ; 0.2 ; 16.121853658536587 ; 0.03248780487804878 ; 238.76798825256975 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 8 ; 864 ; 0 ; 847 ; 1.5535714285714286 ; 0.3 ; 20.046439024390242 ; 0.05151219512195122 ; 239.67650531286895 ; 0 ; 0 ; 0
indian ; 2 ; 8 ; 840 ; 0 ; 823 ; 1.6037037037037036 ; 0.2 ; 19.58409756097561 ; 0.043024390243902436 ; 240.76913730255163 ; 0 ; 0 ; 0
indian ; 3 ; 8 ; 848 ; 0 ; 828 ; 1.6458333333333333 ; 0.3 ; 19.924195121951218 ; 0.05521951219512195 ; 242.6400966183575 ; 0 ; 0 ; 0
indian ; 4 ; 8 ; 797 ; 0 ; 770 ; 1.528023598820059 ; 0.3 ; 18.34360975609756 ; 0.052585365853658535 ; 239.0103896103896 ; 0 ; 0 ; 0
indian ; 5 ; 8 ; 792 ; 0 ; 781 ; 1.6111111111111112 ; 0.2 ; 18.485560975609758 ; 0.046146341463414633 ; 241.36747759282972 ; 0 ; 0 ; 0
indian ; 6 ; 8 ; 804 ; 0 ; 788 ; 1.6103151862464182 ; 0.3 ; 18.76 ; 0.05531707317073171 ; 240.63324873096445 ; 0 ; 0 ; 0
indian ; 7 ; 8 ; 853 ; 0 ; 835 ; 1.5694915254237287 ; 0.2 ; 19.497560975609755 ; 0.046146341463414633 ; 236.58922155688623 ; 0 ; 0 ; 0
indian ; 8 ; 8 ; 830 ; 0 ; 806 ; 1.680722891566265 ; 0.3 ; 19.226536585365853 ; 0.055902439024390245 ; 240.91191066997519 ; 0 ; 0 ; 0
indian ; 9 ; 8 ; 845 ; 0 ; 824 ; 1.5709342560553634 ; 0.2 ; 20.180487804878048 ; 0.047902439024390245 ; 246.61043689320388 ; 0 ; 0 ; 0
indian ; 10 ; 8 ; 824 ; 0 ; 805 ; 1.5961538461538463 ; 0.2 ; 19.3230243902439 ; 0.040878048780487806 ; 242.1329192546584 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 9 ; 928 ; 0 ; 894 ; 1.4901960784313726 ; 0.3 ; 21.49590243902439 ; 0.06165853658536585 ; 241.05592841163312 ; 0 ; 0 ; 0
indian ; 2 ; 9 ; 927 ; 0 ; 888 ; 1.6016483516483517 ; 0.3 ; 21.508487804878047 ; 0.06048780487804878 ; 241.48423423423424 ; 0 ; 0 ; 0
indian ; 3 ; 9 ; 967 ; 0 ; 942 ; 1.5767543859649122 ; 0.3 ; 22.788 ; 0.07239024390243902 ; 244.18259023354565 ; 0 ; 0 ; 0
indian ; 4 ; 9 ; 966 ; 0 ; 946 ; 1.5022421524663676 ; 0.3 ; 22.34780487804878 ; 0.0671219512195122 ; 239.02114164904862 ; 0 ; 0 ; 0
indian ; 5 ; 9 ; 930 ; 0 ; 911 ; 1.5736961451247165 ; 0.3 ; 21.073365853658537 ; 0.06839024390243903 ; 234.2974753018661 ; 0 ; 0 ; 0
indian ; 6 ; 9 ; 960 ; 0 ; 929 ; 1.4904761904761905 ; 0.3 ; 22.409365853658535 ; 0.06302439024390244 ; 242.19268030139935 ; 0 ; 0 ; 0
